 Shannon T 	  My family loved it! My 8-year-old is now completely obsessed with Batman Legos!
 Humberto R 	  Very Funny movie; Batman has his own solo adventure in Gotham with all his villains gallery; with really brilliant moments; he is commenting the credits at the beginning as usual; lots of irony with DC, WB, Superman & Marvel; lots of cameos (WarnerBros, other franchises & Sci-Fi); a lot of jokes, gags, parodies; Batman mocks Robin's real name LOL, what a cruel name for a kid; Superman having a party in the fortress of solitude with all the Justice League members & Batman wasn't invited; this is a movie for freakies; Bruce Wayne is irreverent; a small part of Arkham is boring; DCComics laugh at theirselves; this film has a message: you have to embrace the family that was given to you; an epic ending & emocional, a.worthy ending for the bat; a movie like Sausage Party but made for family, Deadpool laughing at everything and breaking the 4th wall; great music, homage; lighting, colors, textures are great, a technical evolution since the last film, it's visually more attractive. One of the best of the bat.
 Dyron W 	  What guy didn't want to be Batman growing up? He had the badass suit, the gadgets, the cool assortment of vehicles such as the iconic Batmobile, vast wealth, public admiration (more so in the Bruce Wayne persona), physical prowess and intellect to aid him in his war on crime. He's the man, he's the epitome of awesomeness. And you wanna know who else knows this although to a fault? The Caped Crusader himself in the fun-filled spin-off to the breakout hit The Lego Movie, which gave us our first appearance of the cocky and boastful mini-figure-rized version of the DC Comics superhero/Master Builder. Will Arnett once again lends his hilariously (and naturally) gruff vocals to the crime fighting glory hound Batman who has everything but a family to hold dear and find solace with, but that all changes when his unknowingly adopted son Dick Grayson stumbles upon his secret life and he is forced (by his butler Alfred) to take him under his wing as he races to stop the Joker's diabolical plot while learning to a team player. Just like The Lego Movie, this film is a visual treat built (no pun intended) on imagination and sight gags. After seeing the various worlds of the previous film on display, it was equally astonishing seeing Gotham City in Lego form and this interlocking world of colorful bricks, figurines and illuminating plastic fire/laser beams, etc. leaves a lot of creativity for the animators to work with and continues The Lego Movie's Master Builder theme by having Batman assemble a multitude of objects/vehicles on the fly just by using the environment around him. The technique adds a lot more to the cool factor as well as the laugh factor as the film goes along and makes the possibilities with the constructed tools, vehicles and characters themselves endless. Arnett scores as Batman, who continues to inject life, humor and even heart to this self-absorbed, frat bro take on the character, who prides himself on his heroism, loves the spotlight and wants to think that he can function alone whether on the job or at home (where he still wears his cowl and watches nothing but rom-coms all to himself) and seeing the excited Dick/Robin (voice by a rarely energized Michael Cera) tag along with him and turn him around was sweet in itself. Additionally, Zack Galifianakis' Joker is a ball of fun as his attempts to get the Caped Crusader to accept him as his greatest foe comes across like a jilted lover-type story, something I always wondered about him in the cartoons and comics. These characters possess solid story arcs that convey how important family and friends are and to never take a good thing for granted. The Lego Batman Movie is a endlessly entertaining feature that will engage kids and adults alike with sharp meta humor, several nods to the Batman mythos and impeccable voice talent.
 Andrew B 	  Not a kid's movie but then not an adult's movie either, no wonder it's No 1 at the box office.
 Justin M 	  It was fun. I loved it. Great Batman movie that knows how to laugh at itself.
 Raheel k 	  This was a surprisingly entertaining film. I know it's been getting rave reviews, but I'm somebody who typically likes my batman dark and brooding. I think there's a place for comedy in superhero characters/movies, but not as much with batman. Although now that I think about it, I did like Batman Brave and the Bold as well, so I guess I do like a comedic side of Batman. Anyways this story was a more comedic take on Batman maturing and understanding that he needs the help of others to hold on to his humanity. That living and working in isolation is not sustainable and that having allies makes him a better person and hero. I enjoyed several aspects of this movie, not the least the homage to almost every other Batman film or tv series created. The montage in the begiing taking us through he various incarnations of the movie Batman was hilarious. As was the joke about Superman being Batman's number one enemy. I also loved that the references went beyond just Batman and that the WB referenced several of their classic movie franchises, including the monster series they are working on, King Kong, Harry Potter, and even the gremlins! This movie was a blast and I look forward to the next Lego movie. The previous two have been incredibly enjoyable!
 Matt H 	  I thought it was pretty funny. I think the Lego Movie was better.
 Mike H 	  I suppose I went in with my expectations too high. It didn't have the heart or imagination of the first Lego movie. That's 2 maybe even 3 disappointing Batman movies in a row now.
 Francisco C 	  OMFG what an awesome mashup!!!
 Byron D 	  movie was slow, just Batman babbling all movie. my kids hated it. most if the parents and kids left before it was over. terrible movie
 April P 	  I cannot imagine how anyone couldn't like this movie. I'm 40, thought it was hilarious...went with an 11 yr old, she was laughing at 98% of the movie. Kid behind me was laughing so hard I was starting to worry about his wellbeing. It also has heart...but isn't sappy. I know I didn't get all the references and Easter eggs, just makes me want to see it again to find more. Just a great fun movie everyone will find something to love about.
